district,pincodes,population,total_txn,bio_txn,demo_txn,enroll_txn,presence_without_usage_pct,mean_demand_diversity,bio_share,demo_share,enroll_share
ANUGUL,1,97425.66666666667,5704.0,3616.0,1861.0,227.0,0.0,0.7124300494306403,0.6339410939691444,0.32626227208976155,0.03979663394109397
Adilabad,48,2262439.25,222312.0,64484.0,147927.0,9901.0,0.0,0.6679840669998383,0.29006081543056605,0.6654026773183633,0.04453650725107057
Agar Malwa,6,314142.4166666666,89752.0,71400.0,14206.0,4146.0,0.0,0.5577019184969857,0.7955254479008824,0.1582805954184865,0.046193956680631074
Agra,29,3011473.4166666665,453074.0,219660.0,201031.0,32383.0,0.0,0.7756201501139561,0.4848214640434013,0.4437045604029364,0.07147397555366232
Ahilyanagar,12,545088.9166666666,100860.0,66299.0,31775.0,2786.0,0.0,0.653019997977542,0.657336902637319,0.3150406504065041,0.02762244695617688
Ahmadabad,24,143026.9166666667,324949.0,193883.0,117170.0,13896.0,0.0,0.719488961134786,0.5966567061292695,0.3605796601928303,0.042763633677900224
Ahmadnagar,70,1669258.75,411512.0,258748.0,142125.0,10639.0,0.0,0.6583607031867087,0.6287738875172535,0.34537267442990727,0.025853438052839284
Ahmed Nagar,7,247058.8333333333,87105.0,63277.0,21748.0,2080.0,0.0,0.6231903052422199,0.726445095000287,0.24967567877848573,0.023879226221227255
Ahmedabad,49,820409.1666666666,309696.0,191252.0,105461.0,12983.0,0.0,0.689961503099392,0.6175475304815045,0.3405307139904939,0.041921755528001654
Aizawl,15,93672.08333333334,57726.0,44300.0,11068.0,2358.0,0.0,0.5690569860047192,0.7674184942660153,0.19173336105047986,0.04084814468350483
Ajmer,51,1698598.3333333333,259301.0,140815.0,105830.0,12656.0,0.0,0.7231587975100364,0.5430561393901296,0.4081357187207145,0.048808141889155846
Akola,25,954635.1666666666,209869.0,156492.0,48006.0,5371.0,0.0,0.5638161063528756,0.7456651530240292,0.22874269186969015,0.025592155106280583
Alappuzha,114,2109192.75,36751.0,0.0,32306.0,4445.0,0.0,0.3357875938444624,0.0,0.8790509101793148,0.12094908982068515
Aligarh,32,2935794.5,277973.0,157202.0,104502.0,16269.0,0.0,0.7629232289305384,0.5655297456947257,0.3759429872685477,0.05852726703672659
Alipurduar,13,158910.33333333334,25817.0,22148.0,0.0,3669.0,0.0,0.32488860879327497,0.8578843397761166,0.0,0.1421156602238835
Alirajpur,3,333073.0833333333,64581.0,44809.0,11909.0,7863.0,0.0,0.575904000960791,0.693841842027841,0.18440408169585482,0.12175407627630418
Allahabad,34,2061901.0,340294.0,192369.0,134794.0,13131.0,0.0,0.7269132118278437,0.5653023561978759,0.39611042216436376,0.03858722163776029
Alluri Sitharama Raju,17,782394.4166666667,85120.0,66109.0,16843.0,2168.0,0.0,0.5504079740744919,0.776656484962406,0.19787359022556392,0.025469924812030077
Almora,34,1260822.25,80755.0,52839.0,25567.0,2349.0,0.0,0.6078460259408429,0.6543124264751409,0.31659959135657234,0.029087982168286793
Alwar,47,3343147.4166666665,388715.0,234100.0,128965.0,25650.0,0.0,0.7255179240971327,0.6022407162059606,0.3317726354784354,0.06598664831560398
Ambala,20,503386.5833333333,112832.0,73680.0,35453.0,3699.0,0.0,0.569609717161738,0.6530062393647192,0.31421050765740216,0.03278325297787862
Ambedkar Nagar,30,1929299.5833333333,175667.0,90491.0,75945.0,9231.0,0.0,0.7664627827005142,0.5151280547854747,0.4323236578298713,0.05254828738465392
Amethi,32,2614863.4166666665,254962.0,134638.0,108306.0,12018.0,0.0,0.7648234866376031,0.5280708497736918,0.4247927142083918,0.047136436017916394
Amravati,42,1901018.9166666667,375770.0,286385.0,81463.0,7922.0,0.0,0.4940239378471419,0.7621284296245043,0.21678952550762434,0.021082044867871304
Amreli,35,1412657.8333333333,102109.0,70019.0,26461.0,5629.0,0.0,0.6430539525538578,0.6857279965527034,0.25914463955185146,0.055127363895445064
Amritsar,37,783442.3333333334,242266.0,156739.0,85527.0,0.0,0.0,0.4901098181886552,0.6469706851147087,0.3530293148852914,0.0
Amroha,11,1088542.5833333333,143810.0,79744.0,57444.0,6622.0,0.0,0.7262548213101163,0.5545094221542313,0.3994437104512899,0.04604686739447882
Anakapalli,15,717515.0833333334,94173.0,68985.0,23071.0,2117.0,0.0,0.5786953707145722,0.7325348029690039,0.24498529302453995,0.022479904006456202
Anand,59,1738385.8333333333,162325.0,119593.0,35747.0,6985.0,0.0,0.585756306082381,0.7367503465270291,0.22021869705837055,0.043030956414600335
Anantapur,29,953874.5,170019.0,112397.0,53484.0,4138.0,0.0,0.6202132209587363,0.6610849375658014,0.3145766061440192,0.024338456290179333
Ananthapur,29,967898.5833333334,171880.0,117410.0,50167.0,4303.0,0.0,0.5950509021091898,0.6830928554805679,0.2918722364440307,0.025034908075401444
Ananthapuramu,26,1088836.75,148004.0,102631.0,41499.0,3874.0,0.0,0.6050358688316549,0.6934339612442907,0.2803910705116078,0.02617496824410151
Anantnag,13,207079.5,84910.0,55118.0,26323.0,3469.0,0.0,0.6608876097191985,0.6491343775762572,0.31001059945824994,0.04085502296549288
Angul,24,979073.3333333334,67091.0,45437.0,19324.0,2330.0,0.0,0.596802371825735,0.6772443397773174,0.28802670999090785,0.034728950231774754
Anjaw,1,29591.833333333332,2409.0,1729.0,623.0,57.0,0.0,0.6156738819483061,0.7177251971772519,0.25861353258613534,0.023661270236612703
Annamayya,16,493562.4166666667,71381.0,47802.0,21798.0,1781.0,0.0,0.6410377375116615,0.669674002885922,0.30537538000308206,0.024950617110995922
Anugul,6,218673.66666666666,19851.0,12700.0,6386.0,765.0,0.0,0.676218412715124,0.6397662586267694,0.3216966399677598,0.03853710140547076
Anuppur,14,605144.4166666666,104873.0,77440.0,23493.0,3940.0,0.0,0.6160194273574431,0.7384169423969945,0.22401380717629896,0.037569250426706585
Araria,14,3254605.8333333335,271973.0,147807.0,110294.0,13872.0,0.0,0.7674929448605206,0.5434620348343402,0.40553290216308235,0.05100506300257746
Ariyalur,25,741941.75,92284.0,69251.0,20090.0,2943.0,0.0,0.6102710665755188,0.7504117723549044,0.2176975423692081,0.031890685275887475
Arvalli,12,584590.5,50274.0,35593.0,12206.0,2475.0,0.0,0.6376639597081973,0.7079802681306441,0.2427895134662052,0.049230218403150734
Arwal,8,702545.5833333333,56813.0,27414.0,25392.0,4007.0,0.0,0.7904551372859905,0.4825304067730977,0.44693996092443633,0.07052963230246599
Ashok Nagar,3,249342.3333333333,6382.0,5220.0,876.0,286.0,0.0,0.6686417843214603,0.8179254152303354,0.13726104669382638,0.044813538075838294
Auraiya,15,1256652.25,112821.0,64352.0,44186.0,4283.0,0.0,0.7369883636077197,0.5703902642238591,0.39164694516091864,0.03796279061522234
Aurangabad,48,2964574.1666666665,496387.0,297859.0,172130.0,26398.0,0.0,0.7091883712987377,0.6000539901326989,0.34676572915890225,0.05318028070839889
Aurangabad(BH),2,344648.0,25631.0,12898.0,11302.0,1431.0,0.0,0.7800649369414019,0.503218758534587,0.4409504116109399,0.0558308298544731
Aurangabad(bh),5,1094081.25,31528.0,15652.0,14298.0,1578.0,0.0,0.7592282811362997,0.49644760213143874,0.45350164932758186,0.05005074854097945
Ayodhya,18,822693.0833333334,62431.0,35383.0,24205.0,2843.0,0.0,0.7028370633992671,0.5667536960804729,0.3877080296647499,0.04553827425477727
Azamgarh,45,4670286.083333333,355678.0,179637.0,153999.0,22042.0,0.0,0.7836224543275988,0.5050551341381811,0.4329730823947503,0.061971783467068525
Badgam,5,113054.41666666667,42612.0,27752.0,13085.0,1775.0,0.0,0.6925028825158925,0.6512719421759129,0.3070731249413311,0.041654932882756034
Bagalkot,36,1338363.4166666667,145606.0,85372.0,51513.0,8721.0,0.0,0.7588542469335073,0.5863219922255951,0.35378349793277747,0.059894509841627405
Bagalkot *,1,104474.08333333333,7240.0,4261.0,2546.0,433.0,0.0,0.7718493328307419,0.58853591160221,0.3516574585635359,0.059806629834254145
Bageshwar,12,345146.25,23942.0,18468.0,4868.0,606.0,0.0,0.5455644739169366,0.7713641299807869,0.20332470136162392,0.025311168657589173
Baghpat,16,1034350.3333333334,103059.0,49445.0,45549.0,8065.0,0.0,0.7745948578024844,0.4797737218486498,0.4419701336127849,0.07825614453856529
Bagpat,1,114912.16666666667,9800.0,5440.0,3936.0,424.0,0.0,0.754571710136668,0.5551020408163265,0.4016326530612245,0.04326530612244898
Bahraich,15,2689995.166666667,320248.0,157701.0,125167.0,37380.0,0.0,0.8583521925269856,0.49243398865878946,0.39084397092253503,0.11672204041867552
Bajali,1,37772.916666666664,4805.0,3212.0,1336.0,257.0,0.0,0.7115792195817011,0.6684703433922997,0.2780437044745057,0.05348595213319459
Baksa,13,768602.1666666667,39914.0,22667.0,13657.0,3590.0,0.0,0.7822613642388447,0.5678959763491507,0.3421606453875833,0.08994337826326602
Balaghat,19,1859864.9166666667,206076.0,138433.0,60250.0,7393.0,0.0,0.6420337014345454,0.6717570216813215,0.29236786428308004,0.03587511403559852
Balangir,29,1991268.6666666667,150917.0,102671.0,41854.0,6392.0,0.0,0.6665965155256935,0.6803143449710768,0.2773312483020468,0.04235440672687636
Baleshwar,22,750226.25,88789.0,61347.0,23945.0,3497.0,0.0,0.6546985435949616,0.6909301827929135,0.26968430774082375,0.039385509466262715
Baleswar,37,1465614.8333333333,114892.0,80201.0,30159.0,4532.0,0.0,0.6237161734559077,0.6980555652264736,0.2624986944260697,0.039445740347456744
Ballari,18,641442.5833333333,83552.0,58710.0,20695.0,4147.0,0.0,0.6512489840980517,0.7026761777096898,0.24769006127920337,0.04963376101110686
Ballia,40,3525515.9166666665,247830.0,134822.0,101559.0,11449.0,0.0,0.7403940979001089,0.5440100068595408,0.4097930032683694,0.04619698987208974
Balod,10,874475.5833333333,204407.0,121007.0,76443.0,6957.0,0.0,0.6734795502027584,0.5919904895624906,0.37397447249849564,0.03403503793901383
Baloda Bazar,14,775853.8333333334,238541.0,131786.0,101030.0,5725.0,0.0,0.6929670111222375,0.5524668715231343,0.42353306140244235,0.024000067074423266
Balotra,4,301170.5833333333,33594.0,20802.0,10705.0,2087.0,0.0,0.756778028060789,0.6192177174495446,0.3186580937072096,0.06212418884324582
Balrampur,16,2245413.5,279049.0,140788.0,119878.0,18383.0,0.0,0.7982224000987029,0.5045278786163003,0.4295948023465413,0.06587731903715835
Banas Kantha,3,500248.99999999994,58541.0,28437.0,22559.0,7545.0,0.0,0.7839989011489746,0.48576211544046055,0.3853538545634683,0.12888402999607113
Banaskantha,25,2547421.5,209762.0,127221.0,56393.0,26148.0,0.0,0.7765972329140658,0.6065016542557756,0.2688427837263184,0.12465556201790601
Banda,11,1579715.0,180721.0,93019.0,75427.0,12275.0,0.0,0.7841170765100521,0.5147105206367827,0.4173671017756653,0.06792237758755208
Bandipore,4,163783.08333333334,47722.0,26741.0,18776.0,2205.0,0.0,0.7622198601456749,0.560349524328402,0.39344537110766525,0.04620510456393278
Bangalore,60,552231.5833333334,527453.0,282988.0,207256.0,37209.0,0.0,0.7169558208299444,0.5365179456747805,0.3929373802025963,0.07054467412262325
Bangalore Rural,11,587394.9166666666,56347.0,27662.0,25305.0,3380.0,0.0,0.7279011106180575,0.4909223206204412,0.4490922320620441,0.059985447317514685
Banka,26,3460651.5,184615.0,92088.0,81323.0,11204.0,0.0,0.7455685300076921,0.49881103918966496,0.4405005010427105,0.06068845976762451
Bankura,65,184170.6666666667,135165.0,122349.0,0.0,12816.0,0.0,0.25314789235255775,0.9051825546554212,0.0,0.09481744534457885
Banswara,18,1840878.0833333335,245902.0,117159.0,119780.0,8963.0,0.0,0.740567808270582,0.4764459012126782,0.4871046189132256,0.036449479874096184
Bapatla,13,261554.91666666666,35543.0,24930.0,9748.0,865.0,0.0,0.6062603183545554,0.7014039332639338,0.27425934783220324,0.024336718903862926
