pincode,district,months_observed,consistency_score,quality_tier
759119,ANUGUL,12,0.5540608459917912,insufficient_comparison
504001,Adilabad,12,0.6038839122834514,high_consistency
504101,Adilabad,12,0.45794103380441603,low_consistency
504102,Adilabad,12,0.4670323584421431,low_consistency
504103,Adilabad,12,0.4857977366230653,moderate_consistency
504104,Adilabad,12,0.47977562255222767,low_consistency
504105,Adilabad,12,0.4662748162191411,low_consistency
504106,Adilabad,12,0.5734384084843241,high_consistency
504109,Adilabad,12,0.46604302273115195,low_consistency
504110,Adilabad,12,0.41803858111885434,low_consistency
504201,Adilabad,12,0.4875782631460792,moderate_consistency
504202,Adilabad,12,0.4455519184085172,low_consistency
504203,Adilabad,12,0.4770133319912994,low_consistency
504204,Adilabad,12,0.5126577133308149,high_consistency
504205,Adilabad,12,0.5022449370701593,moderate_consistency
504206,Adilabad,12,0.5185503256094446,high_consistency
504207,Adilabad,12,0.496442060724745,moderate_consistency
504208,Adilabad,12,0.5159672585357806,high_consistency
504209,Adilabad,12,0.5070118179911962,moderate_consistency
504214,Adilabad,12,0.47560732026238545,low_consistency
504215,Adilabad,12,0.5061995981222892,moderate_consistency
504216,Adilabad,12,0.5240164244818821,high_consistency
504218,Adilabad,12,0.4735476197237175,low_consistency
504219,Adilabad,12,0.5121504004419559,high_consistency
504220,Adilabad,12,0.48692613193764217,moderate_consistency
504231,Adilabad,12,0.5245628403462972,high_consistency
504251,Adilabad,12,0.5439434749657195,high_consistency
504272,Adilabad,12,0.49785013926838523,moderate_consistency
504273,Adilabad,12,0.5482578990842562,high_consistency
504292,Adilabad,12,0.48087944132734334,low_consistency
504293,Adilabad,12,0.48647676608373314,moderate_consistency
504294,Adilabad,12,0.5215728106849954,high_consistency
504295,Adilabad,12,0.5110340879913439,moderate_consistency
504296,Adilabad,12,0.5409832803350181,high_consistency
504299,Adilabad,12,0.4971157310562698,moderate_consistency
504301,Adilabad,12,0.4955206089777651,moderate_consistency
504302,Adilabad,12,0.5060124351976437,moderate_consistency
504303,Adilabad,12,0.47470110239331,low_consistency
504304,Adilabad,12,0.4734363217203832,low_consistency
504306,Adilabad,12,0.4829768425686614,low_consistency
504307,Adilabad,12,0.499743513548093,moderate_consistency
504308,Adilabad,12,0.5080606817475578,moderate_consistency
504309,Adilabad,12,0.4941619003199212,moderate_consistency
504310,Adilabad,12,0.47029205788850104,low_consistency
504311,Adilabad,12,0.5254270495071194,high_consistency
504312,Adilabad,12,0.5196101011233238,high_consistency
504313,Adilabad,12,0.5244600689480501,high_consistency
504323,Adilabad,12,0.45649161954597267,low_consistency
504346,Adilabad,12,0.5209972477081364,high_consistency
465230,Agar Malwa,12,0.5823189171102426,low_consistency
465441,Agar Malwa,12,0.5880648351961375,moderate_consistency
465445,Agar Malwa,12,0.6141616157445432,high_consistency
465447,Agar Malwa,12,0.6034787393636134,high_consistency
465449,Agar Malwa,12,0.5436563705541063,low_consistency
465550,Agar Malwa,12,0.5830678391975452,moderate_consistency
