pincode,district,state,total_txn,months_active,mean_capacity_stress,txn_std,txn_mean,txn_cv,stress_norm,stability_norm,repeat_norm,volume_norm,demand_stickiness_score,stickiness_rank,demand_stickiness_bucket
152020,Fazilka,Punjab,5.0,12,0.7003115489173211,0.7929614610987591,0.4166666666666667,1.9031075066370218,1.0,0.450620184373159,1.0,0.0027548209366391185,0.7354615374056117,1,high_stickiness
571426,Mandya,Karnataka,337.0,12,0.4989216761208343,26.48656034270737,28.083333333333332,0.9431416145771171,0.7124281712791476,0.7277384674699816,1.0,0.18567493112947658,0.7218603018656012,2,high_stickiness
403401,North Goa,Goa,384.0,12,0.4837191625224983,28.982753492378876,32.0,0.9057110466368399,0.690719956382736,0.7385437417081014,1.0,0.2115702479338843,0.7190081298589133,3,high_stickiness
212621,Fatehpur,Uttar Pradesh,48.0,12,0.5411238974384839,4.348458452036872,4.0,1.087114613009218,0.772690238044852,0.6861770427695761,1.0,0.026446280991735537,0.7175738361479872,4,high_stickiness
464570,Raisen,Manipur,11.0,12,0.5137899839527331,0.90033663737852,0.9166666666666666,0.9821854225947492,0.7336591617645752,0.7164674909353976,1.0,0.006060606060606061,0.70900997259251,5,high_stickiness
144521,Nawanshahr,Punjab,437.0,12,0.4464402763515691,32.94750185959292,36.416666666666664,0.9047368931695996,0.6374880966075228,0.7388249555913731,1.0,0.24077134986225895,0.7007198603066469,6,high_stickiness
365730,Amreli,Haryana,12.0,12,0.533071860703826,1.2060453783110545,1.0,1.2060453783110545,0.761192445744973,0.6518446880886044,1.0,0.006611570247933884,0.700691541749364,7,high_stickiness
142048,Moga,Punjab,245.0,12,0.4587393738076689,17.94161406204902,20.416666666666668,0.8787729336513805,0.6550504193696051,0.7463201050999091,1.0,0.1349862258953168,0.6994148218673465,8,high_stickiness
396067,Valsad,Haryana,12.0,12,0.5136142976686636,1.2060453783110545,1.0,1.2060453783110545,0.7334082930128873,0.6518446880886044,1.0,0.006611570247933884,0.6895778806565297,9,high_stickiness
798604,Mokokchung,Nagaland,292.0,12,0.4279467034246502,20.370805015258895,24.333333333333332,0.8371563704900916,0.61108045995565,0.7583337720718678,1.0,0.16088154269972452,0.6880204698737928,10,high_stickiness
743127,North Twenty Four Parganas,Westbengal,426.0,12,0.41033952638585225,29.22794428749185,35.5,0.8233223742955451,0.5859385398116532,0.7623273027853126,1.0,0.23471074380165288,0.6865446811404203,11,high_stickiness
721628,East Midnapore,Westbengal,378.0,12,0.41466012996406176,27.033649065899,31.5,0.8582110814571111,0.5921080847590258,0.7522558005496085,1.0,0.20826446280991737,0.6833464203494846,12,high_stickiness
365555,Amreli,Haryana,78.0,12,0.4503594204064658,6.007570980929738,6.5,0.9242416893738058,0.64308438309024,0.7331944059218793,1.0,0.04297520661157025,0.681489595673817,13,high_stickiness
